event,station,epi_deg,epi_km,sigma_mean,sigma_std,sigma_min,sigma_max,log_D_over_D0,log_sigma_mean,sigma_pred_eq15,residual_log_eq15
1976-03-06 10:03:00.015000+00:00__S15,S15,34.36925412541498,1042.190936661604,82.85921646620385,1.453401338609244,81.18843619221573,83.83152047433698,2.3439102600968815,4.417142980488252,73.23910209820001,0.12341352047582532
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,82.81784552879753,3.513828971112762,77.78084304408489,85.85883535184671,2.6353892672860137,4.416643563879,80.95995233709499,0.02268894706167046
1976-03-08 14:33:00.011000+00:00__S15,S15,47.9333826510861,1453.500759143731,79.28439399996417,11.906418716402518,53.46333920489696,88.02449420752552,2.6765600562974114,4.373041312299767,82.11422015590567,-0.03506989446975517
1975-11-10 07:46:00.004000+00:00__S16,S16,48.0,1455.5208203591753,57.400370718593805,,57.400370718593805,57.400370718593805,2.67794888170481,4.050050761816752,82.15344300985936,-0.3585379930464514
1976-01-04 11:09:00.035000+00:00__S16,S16,55.66406509366376,1687.9209518678333,74.58930019297442,9.000890522434183,67.33351247653653,87.65302167986044,2.8260826586090935,4.311997067874185,86.44640313557184,-0.14752753709194089
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,89.5820433668661,2.641962214302464,84.65016078791707,92.33839202571615,2.8424042746791724,4.495154891044407,86.93292099884125,0.0300180927827558
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1940.694427145567,146.70899042557573,86.04637723511688,75.96334550045201,261.62032646356727,2.9656309541565906,4.988450967699041,90.69555374397709,0.4809426333453999
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,141.4981484309058,82.68888640744716,84.86245882140474,265.9403050587516,3.0662147125930677,4.952286631703727,93.8872030578802,0.4101925374405182
1973-06-20 20:15:00.023000+00:00__S15,S15,77.0,2334.8979826595105,86.6684131627659,7.186597190068449,76.49454011704039,93.51972271922276,3.150553292650603,4.46208949402244,96.64978141170516,-0.10900444998118086
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,82.05805924423275,9.411856732123185,72.73194162406512,97.15803313205025,3.237336699474691,4.40742703628631,99.57732203644422,-0.1935074119817024
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,93.10382727448143,1.5425902724408365,91.3542221276294,94.32503534119384,3.2819769544840596,4.533715292723572,101.11758173375539,-0.08256872257250958
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,80.94143657457491,10.697554743745968,69.37658413421309,97.27653221529398,3.294147521050502,4.393725887925931,101.54163067175482,-0.22674298086711264
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,88.17658951678538,2.3655463260939813,84.40341648003593,91.13910910127557,3.4189391203889827,4.479341502801544,105.99357754911011,-0.18403700031558756
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,147.43625268467616,88.14582566540615,104.97938563916674,305.0124551892738,3.5942396135789645,4.993395897172302,112.5790495942354,0.26974025922006284
