event,station,epi_deg,event_time_utc,event_start_utc,fc_Hz,t0_utc,fit_end_source,fit_end_color,s_arrival_utc,event_start_match_dt_s,D_km_used,t0_offset_sec,fl_Hz,fu_Hz,envelope_plot_path,event_multiband_plot_path,log10_A2,q0,alpha,sigma,water_level,n_pre_t0_replaced,n_taper_samples,fit_start,fit_end,success,message,n_resid,nfev,active_bounds,hit_any_bound,stuck_params,stuck_at_initial,fit_issue,n_model_at_water_level,frac_model_at_water_level,model_all_water_level,use_for_sigma_fit,ssr,cost,rmse
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1971-05-20 17:29:00.023000+00:00,1971-05-20 17:16:10.013000+00:00,3.0,1971-05-20 17:28:58.621000+00:00,default_100s,tab:blue,,,1394.8741195108762,768.607577,2.5,3.5,,,-4.25106334527713,1.395688793370469,1.6715720015282083,55.48249572267392,1.7888021334027348e-11,40207,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,12,,False,,False,water-level-clipped: 100%,12131,0.9951599671862182,False,False,6544.147222655033,3272.0736113275166,0.7326974460086615
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1971-05-20 17:29:00.023000+00:00,1971-05-20 17:16:10.013000+00:00,5.0,1971-05-20 17:29:00.023000+00:00,default_100s,tab:blue,,,1394.8741195108762,770.009577,4.5,5.5,,,-4.288939910899684,1.3823833752322165,1.707844330000815,54.86547330146201,1.2467484119521663e-11,40281,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,12,,False,,False,water-level-clipped: 100%,12132,0.9952420016406891,False,False,6445.649331734424,3222.824665867212,0.7271625173504279
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1971-05-20 17:29:00.023000+00:00,1971-05-20 17:16:10.013000+00:00,6.0,1971-05-20 17:29:03.778000+00:00,default_100s,tab:blue,,,1394.8741195108762,773.764577,5.5,6.5,,,-4.538767331250377,1.3949372055499099,1.599058673096847,55.22143292288204,8.674041065720869e-12,40480,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,12,,False,,False,water-level-clipped: 99%,12125,0.994667760459393,False,False,8301.211443187416,4150.605721593708,0.8252183663669196
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1971-05-20 17:29:00.023000+00:00,1971-05-20 17:16:10.013000+00:00,7.0,1971-05-20 17:29:04.337000+00:00,default_100s,tab:blue,,,1394.8741195108762,774.323577,6.5,7.5,,,-4.499049546412908,1.3897256313634359,1.6349107464152435,54.94993295638556,8.487496153558972e-12,40510,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,12,,False,,False,water-level-clipped: 99%,12128,0.9949138638228056,False,False,8037.2020150515345,4018.6010075257673,0.8119898292324801
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:33:11.391000+00:00,1972-01-02 22:20:40.002000+00:00,4.0,1972-01-02 22:33:18.748000+00:00,default_100s,tab:blue,,,2213.604580962912,758.745618,3.5,4.5,,,-1.6501652472383193,1.2259398450858408,1.2541241202829825,73.8294937760334,6.832238221480093e-11,39684,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,13,,False,,False,water-level-clipped: 100%,12161,0.9976210008203446,False,False,187.91082821397623,93.95541410698812,0.12415781200433731
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:33:11.391000+00:00,1972-01-02 22:20:40.002000+00:00,5.0,1972-01-02 22:33:11.391000+00:00,default_100s,tab:blue,,,2213.604580962912,751.388618,4.5,5.5,,,-1.6964247869413165,1.2174654125672881,1.2731883912413462,73.49536739201149,4.9622341682112216e-11,39294,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,13,,False,,False,water-level-clipped: 100%,12161,0.9976210008203446,False,False,170.69693623380556,85.34846811690278,0.11833439924126225
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:33:11.391000+00:00,1972-01-02 22:20:40.002000+00:00,6.0,1972-01-02 22:33:12.212000+00:00,default_100s,tab:blue,,,2213.604580962912,752.209618,5.5,6.5,,,-1.7956711365435147,1.2109659251387241,1.268519931993408,73.1421245533541,3.273062113290609e-11,39338,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,13,,False,,False,water-level-clipped: 100%,12161,0.9976210008203446,False,False,157.39740063003475,78.69870031501738,0.11363102523439228
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:33:11.391000+00:00,1972-01-02 22:20:40.002000+00:00,7.0,1972-01-02 22:33:32.467000+00:00,default_100s,tab:blue,,,2213.604580962912,772.464618,6.5,7.5,,,-1.9298173464427968,1.2097619357701341,1.2317293436935743,72.97811849470179,2.2699032369300206e-11,40411,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,13,,False,,False,water-level-clipped: 100%,12159,0.9974569319114028,False,False,259.8810408166638,129.9405204083319,0.146010956474913
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:33:11.391000+00:00,1972-01-02 22:20:40.002000+00:00,8.0,1972-01-02 22:33:06.217000+00:00,default_100s,tab:blue,,,2213.604580962912,746.214618,7.5,8.5,,,-2.007539798766959,1.201877255195903,1.2420830928265003,72.61179001982002,1.5257498739335945e-11,39020,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,13,,False,,False,water-level-clipped: 100%,12159,0.9974569319114028,False,False,254.75019442541287,127.37509721270644,0.14456241982631168
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:33:11.391000+00:00,1972-01-02 22:20:40.002000+00:00,9.0,1972-01-02 22:33:19.325000+00:00,default_100s,tab:blue,,,2213.604580962912,759.322618,8.5,9.5,,,-2.0084883584925732,1.2017814696019933,1.2470529114157494,72.57789907684304,1.508189684374686e-11,39715,1060,-130.0,100.0,True,`ftol` termination condition is satisfied.,12190,13,,False,,False,water-level-clipped: 100%,12160,0.9975389663658737,False,False,325.4275953379761,162.71379766898804,0.16338994844640975
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,3.0,1972-12-06 23:12:35.496000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,815.487845,2.5,3.5,,,-2.2445896519669275,1.3832057299140437,1.7542860529175672,60.87928736342302,1.7444763889926262e-11,42691,1060,-130.0,221.504,True,`ftol` termination condition is satisfied.,18630,12,,False,,False,water-level-clipped: 100%,18570,0.9967793880837359,False,False,1305.8563488330499,652.9281744165249,0.2647532347293997
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,4.0,1972-12-06 23:13:13.102000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,853.093845,3.5,4.5,,,-7.833699693090346,6.446329051927161,0.30691685351232817,189.28009880711505,1.1690420368609304e-11,44684,1060,-130.0,183.898,True,`ftol` termination condition is satisfied.,16637,447,,False,,False,ok,6266,0.37663040211576604,False,True,240.2898895907057,120.14494479535286,0.12017945788351399
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,5.0,1972-12-06 23:12:43.085000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,823.076845,4.5,5.5,,,-2.607313342281354,1.367593481392876,1.5407620555350034,62.14272205069761,8.119330588884649e-12,43094,1060,-130.0,213.915,True,`ftol` termination condition is satisfied.,18227,12,,False,,False,water-level-clipped: 100%,18156,0.9961046798705218,False,False,2604.7079041987554,1302.3539520993777,0.3780262143573634
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,6.0,1972-12-06 23:12:55.596000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,835.587845,5.5,6.5,,,-2.9644661995600194,1.3628357109668987,1.2179960259853868,64.78277549801949,6.2580200253483e-12,43757,1060,-130.0,201.404,True,`gtol` termination condition is satisfied.,17564,9,,False,,False,water-level-clipped: 100%,17564,1.0,True,False,2901.7455216994813,1450.8727608497406,0.40646012577817936
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,7.0,1972-12-06 23:13:19.317000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,859.308845,6.5,7.5,,,-6.704268306059842,2.606383447610501,1.4248421743966542,74.81457496327043,5.277620665187452e-12,45014,1060,-130.0,177.683,True,`ftol` termination condition is satisfied.,16307,25,,False,,False,ok,6089,0.3733979272704973,False,True,190.2592085523226,95.1296042761613,0.10801543209937553
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,8.0,1972-12-06 23:12:58.476000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,838.467845,7.5,8.5,,,-2.973103132443736,1.341959121295301,1.2369404498378822,64.97427055995786,4.635289617368582e-12,43909,1060,-130.0,198.524,True,`ftol` termination condition is satisfied.,17412,13,,False,,False,water-level-clipped: 100%,17353,0.9966115322765908,False,False,3110.6910567233344,1555.3455283616672,0.4226726152891035
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 23:12:43.085000+00:00,1972-12-06 22:59:00.008000+00:00,9.0,1972-12-06 23:12:44.266000+00:00,Lognonne S,crimson,1972-12-06 23:16:27+00:00,539.992,2146.051451804832,824.257845,8.5,9.5,,,-2.7061667889328316,1.3553301429951052,1.5410662347819402,62.035099014935206,5.170766406720018e-12,43156,1060,-130.0,212.734,True,`ftol` termination condition is satisfied.,18165,12,,False,,False,water-level-clipped: 100%,18096,0.9962014863748968,False,False,2822.1672631133642,1411.0836315566821,0.39416102060342795
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,3.0,1973-03-13 08:01:32.396000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,872.381835,2.5,3.5,,,-1.0858590662717038,1.635756006741618,0.8240043755570102,69.77846569336174,1.7938296709339215e-11,45707,1060,-130.0,243.454,True,`ftol` termination condition is satisfied.,19793,16,,False,,False,ok,6231,0.3148082655484262,False,True,814.5873797893439,407.29368989467196,0.20286775648186192
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,4.0,1973-03-13 08:01:32.112000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,872.097835,3.5,4.5,,,-0.6566600796796918,1.5694141401611585,0.7817142948510273,68.2850239901986,1.60791678824198e-11,45692,1060,-130.0,243.738,True,`ftol` termination condition is satisfied.,19808,18,,False,,False,ok,6548,0.3305735056542811,False,True,615.0238959601608,307.5119479800804,0.17620802413223544
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,5.0,1973-03-13 08:01:35.960000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,875.945835,4.5,5.5,,,-0.6969426266429911,1.5663262855789557,0.7848479376684553,67.80860065925532,1.1921570703269722e-11,45896,1060,-130.0,239.89,True,`ftol` termination condition is satisfied.,19604,19,,False,,False,ok,6543,0.3337584166496633,False,True,551.8465081686722,275.9232540843361,0.16777869130404016
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,6.0,1973-03-13 08:01:36.998000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,876.983835,5.5,6.5,,,-0.5578220719767607,1.5416252491959948,0.7663364033848372,67.28650076173818,7.717778809842683e-12,45951,1060,-130.0,238.852,True,`ftol` termination condition is satisfied.,19549,15,,False,,False,ok,6526,0.33382781727965627,False,True,480.43665001071486,240.21832500535743,0.1567674130422011
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,7.0,1973-03-13 08:01:39.471000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,879.456835,6.5,7.5,,,-1.1390679306267901,1.6159155860883805,0.8106049958179395,67.54391642855835,7.334769031465568e-12,46082,1060,-130.0,236.379,True,`ftol` termination condition is satisfied.,19418,18,,False,,False,ok,6520,0.335770934184777,False,True,494.99582359783057,247.49791179891528,0.15966088012465338
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,8.0,1973-03-13 08:01:40.412000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,880.397835,7.5,8.5,,,-1.2966394591177548,1.6285764664342328,0.8076687677537324,67.5957360126925,5.059038582650147e-12,46132,1060,-130.0,235.438,True,Both `ftol` and `xtol` termination conditions are satisfied.,19368,24,,False,,False,ok,6490,0.3350888062783974,False,True,384.19649907423735,192.09824953711868,0.14084269069062358
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,1973-03-13 07:47:00.014000+00:00,9.0,1973-03-13 08:01:45.433000+00:00,Lognonne S,crimson,1973-03-13 08:05:45.850000+00:00,539.986,2695.4426192026476,885.418835,8.5,9.5,,,-1.6883232661176866,1.7029782646127556,0.8749814465875368,67.09598133633733,5.250280028474062e-12,46398,1060,-130.0,230.417,True,`ftol` termination condition is satisfied.,19102,12,,False,,False,ok,6381,0.33404879070254423,False,True,572.5988424394047,286.29942121970237,0.173135375221362
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,3.0,1973-03-13 08:02:48.371000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,948.357232,2.5,3.5,,,-4.231275336569097,2.3228886286692063,1.3087538240128123,94.76260344018925,2.221517438255811e-11,49733,1060,-130.0,321.779,True,`ftol` termination condition is satisfied.,23945,25,,False,,False,ok,6721,0.2806849029024849,False,True,413.78552515734543,206.89276257867272,0.13145594346527986
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,4.0,1973-03-13 08:02:46.293000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,946.279232,3.5,4.5,,,-4.865116626553149,2.742216816397036,1.4838266681432533,93.6954560752042,2.455567467771077e-11,49623,1060,-130.0,323.857,True,`xtol` termination condition is satisfied.,24055,29,,False,,False,ok,7114,0.29573893161504883,False,True,403.25636236594966,201.62818118297483,0.12947560036483205
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,5.0,1973-03-13 08:02:59.984000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,959.970232,4.5,5.5,,,-4.917687143550182,2.6628564696536974,1.4214659683886086,94.29069752418758,1.8586458382047184e-11,50349,1060,-130.0,310.166,True,`ftol` termination condition is satisfied.,23329,21,,False,,False,ok,7212,0.3091431265806507,False,True,315.6561131289661,157.82805656448306,0.1163212446879302
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,6.0,1973-03-13 08:02:54.290000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,954.276232,5.5,6.5,,,-5.396241726862505,3.0305915330802673,1.3802998432794447,95.84362974366881,1.4159894005224319e-11,50047,1060,-130.0,315.86,True,`ftol` termination condition is satisfied.,23631,25,,False,,False,ok,7858,0.33252930472684183,False,True,374.032102947853,187.0160514739265,0.1258094864041486
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,7.0,1973-03-13 08:03:29.301000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,989.287232,6.5,7.5,,,-5.703569196090841,3.510152457703692,1.784761100361854,91.90385443465932,1.2597379658638194e-11,51903,1060,-130.0,280.849,True,`ftol` termination condition is satisfied.,21775,31,,False,,False,ok,7290,0.3347876004592423,False,True,282.12726019432347,141.06363009716173,0.11382651617217955
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,8.0,1973-03-13 08:03:41.845000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,1001.831232,7.5,8.5,,,-6.8791801727926565,6.114004425503292,0.22799569742882267,265.5789734003003,9.59857618841895e-12,52568,1060,-130.0,268.305,True,`ftol` termination condition is satisfied.,21110,714,,False,,False,ok,7150,0.3387020369493131,False,True,384.23999397560857,192.11999698780429,0.1349140460047096
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 08:02:59.984000+00:00,1973-03-13 07:47:00.013000+00:00,9.0,1973-03-13 08:03:44.365000+00:00,Lognonne S,crimson,1973-03-13 08:08:20.150000+00:00,539.987,3638.8020508979375,1004.351232,8.5,9.5,,,-5.976244014811776,3.5758669776410557,1.6295782377229648,97.22726777333466,1.0726996539230184e-11,52701,1060,-130.0,265.785,True,`ftol` termination condition is satisfied.,20977,37,,False,,False,ok,7620,0.36325499356438,False,True,346.9452241211713,173.47261206058565,0.12860527064308916
