event,station,epi_deg,epi_km,count,sigma_mean,sigma_std,sigma_min,sigma_max
1976-03-06 10:03:00.015000+00:00__S15,S15,34.36925412541498,1042.190936661604,7,123.71141025655159,25.48050208730065,101.65679818734395,174.7257331795781
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,4,134.1079112624454,32.736290621096735,114.59881007110847,183.05681180053656
1976-03-08 14:33:00.011000+00:00__S15,S15,47.9333826510861,1453.500759143731,7,208.35838103810087,77.32176224136074,124.79434846932773,311.90010846766114
1975-11-10 07:46:00.004000+00:00__S16,S16,48.0,1455.5208203591753,7,222.31660138559798,102.25534093752101,104.20457810659109,414.61010705279176
1976-01-04 11:09:00.035000+00:00__S16,S16,55.66406509366376,1687.9209518678333,7,172.32939462684175,70.27773135143842,104.458110252782,265.7667159336144
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,7,104.60144687760258,1.5142799688262607,101.89853367153248,106.2906095612719
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1940.694427145567,4,376.8951597939999,181.27449553991795,106.55532042457355,492.6690240630807
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,7,316.23564461253324,138.68166227753306,116.78747237442418,487.61872294053154
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,6,99.97198919219367,9.574417580274645,86.86037963552614,114.75769809962723
1973-06-20 20:15:00.023000+00:00__S15,S15,77.0,2334.8979826595105,7,215.5307298190426,84.36494281054047,102.00824322316268,282.86579174493363
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,7,190.21898813523268,82.90029353511693,102.02621629795146,334.9609683844545
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,2662.836376081852,5,187.39771730260867,78.55455404941485,98.38483973543771,259.1443016105165
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,7,126.45909573923127,54.263712464167696,104.36689265332014,249.46404775753078
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,7,290.9619314585497,47.62061415504161,239.44760777290512,354.0285368910088
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,7,206.324362372427,71.91668046296364,100.40126598277492,266.6911290648549
