event,station,epi_deg,epi_km,fc_Hz,sigma,rmse,fit_end_source,s_arrival_utc,q0,alpha,envelope_plot_path
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,3.0,77.78084304408489,0.07306781331300718,default_100s,,0.3544481089198484,0.11249015414290357,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,5.0,85.85883535184671,0.08404808460072391,default_100s,,0.3019641267265753,0.09220711697270384,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,6.0,83.35220560058931,0.11354737598529648,default_100s,,0.174504549448339,0.07982370137569401,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,7.0,84.27949811866925,0.06682205104810748,default_100s,,0.13981227339545635,0.07244775293095039,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,3.0,91.9728066143816,0.07019101052761043,Lognonne S,1972-12-06 23:16:27+00:00,2.8795435608989086,1.0970126154105653,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,4.0,257.3606744731173,0.07540097502799714,Lognonne S,1972-12-06 23:16:27+00:00,6.645746472970647,0.16753304866662866,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,5.0,265.9403050587516,0.08597458012839856,Lognonne S,1972-12-06 23:16:27+00:00,6.504763206416729,0.1325645590459478,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,6.0,90.24445950865784,0.08849058332528621,Lognonne S,1972-12-06 23:16:27+00:00,6.252454408685621,1.1901663488747223,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,7.0,86.0520610606552,0.07798962683286985,Lognonne S,1972-12-06 23:16:27+00:00,2.540280538631412,1.1023219336960686,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,8.0,84.86245882140474,0.08745399697536989,Lognonne S,1972-12-06 23:16:27+00:00,3.0608148883159263,1.1275596106019659,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,9.0,114.05427347937213,0.07409235907265073,Lognonne S,1972-12-06 23:16:27+00:00,6.113983904331482,0.6455708083845517,
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,5.0,107.95877905388713,0.07871162393939671,Lognonne S,1973-03-13 08:08:20.150000+00:00,2.658952773584907,1.1281009063816627,
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,6.0,105.96945979019347,0.08912423149973739,Lognonne S,1973-03-13 08:08:20.150000+00:00,3.039573563189699,1.137669664109277,
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,7.0,113.26118375085962,0.08011311380681226,Lognonne S,1973-03-13 08:08:20.150000+00:00,3.5552963182871977,1.196527801938696,
