event,station,epi_deg,epi_km,fc_Hz,sigma,rmse,fit_end_source,s_arrival_utc
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,4.0,189.28009880711505,0.12017945788351399,Lognonne S,1972-12-06 23:16:27+00:00
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,7.0,74.81457496327043,0.10801543209937553,Lognonne S,1972-12-06 23:16:27+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,3.0,94.76260344018925,0.13145594346527986,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,4.0,93.6954560752042,0.12947560036483205,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,5.0,94.29069752418758,0.1163212446879302,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,6.0,95.84362974366881,0.1258094864041486,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,7.0,91.90385443465932,0.11382651617217955,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,8.0,265.5789734003003,0.1349140460047096,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,3638.8020508979375,9.0,97.22726777333466,0.12860527064308916,Lognonne S,1973-03-13 08:08:20.150000+00:00
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,3.0,69.77846569336174,0.20286775648186192,Lognonne S,1973-03-13 08:05:45.850000+00:00
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,4.0,68.2850239901986,0.17620802413223544,Lognonne S,1973-03-13 08:05:45.850000+00:00
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,5.0,67.80860065925532,0.16777869130404016,Lognonne S,1973-03-13 08:05:45.850000+00:00
