event,station,epi_deg,epi_km,fc_Hz,sigma,rmse,fit_end_source,s_arrival_utc,fit_issue,active_bounds,stuck_at_initial,frac_model_at_water_level,envelope_plot_path
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,3.0,55.48249572267392,0.7326974460086615,default_100s,,water-level-clipped: 100%,,False,0.9951599671862182,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,5.0,54.86547330146201,0.7271625173504279,default_100s,,water-level-clipped: 100%,,False,0.9952420016406891,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,6.0,55.22143292288204,0.8252183663669196,default_100s,,water-level-clipped: 99%,,False,0.994667760459393,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,7.0,54.94993295638556,0.8119898292324801,default_100s,,water-level-clipped: 99%,,False,0.9949138638228056,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,4.0,73.8294937760334,0.12415781200433731,default_100s,,water-level-clipped: 100%,,False,0.9976210008203446,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,5.0,73.49536739201149,0.11833439924126225,default_100s,,water-level-clipped: 100%,,False,0.9976210008203446,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,6.0,73.1421245533541,0.11363102523439228,default_100s,,water-level-clipped: 100%,,False,0.9976210008203446,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,7.0,72.97811849470179,0.146010956474913,default_100s,,water-level-clipped: 100%,,False,0.9974569319114028,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,8.0,72.61179001982002,0.14456241982631168,default_100s,,water-level-clipped: 100%,,False,0.9974569319114028,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,2213.604580962912,9.0,72.57789907684304,0.16338994844640975,default_100s,,water-level-clipped: 100%,,False,0.9975389663658737,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,3.0,60.87928736342302,0.2647532347293997,Lognonne S,1972-12-06 23:16:27+00:00,water-level-clipped: 100%,,False,0.9967793880837359,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,5.0,62.14272205069761,0.3780262143573634,Lognonne S,1972-12-06 23:16:27+00:00,water-level-clipped: 100%,,False,0.9961046798705218,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,6.0,64.78277549801949,0.40646012577817936,Lognonne S,1972-12-06 23:16:27+00:00,water-level-clipped: 100%,,False,1.0,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,8.0,64.97427055995786,0.4226726152891035,Lognonne S,1972-12-06 23:16:27+00:00,water-level-clipped: 100%,,False,0.9966115322765908,
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,2146.051451804832,9.0,62.035099014935206,0.39416102060342795,Lognonne S,1972-12-06 23:16:27+00:00,water-level-clipped: 100%,,False,0.9962014863748968,
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1940.694427145567,4.0,69.66008857040214,0.312511629074154,default_100s,,water-level-clipped: 99%,,False,0.9944216570959803,
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1940.694427145567,5.0,69.20381311889824,0.17781113583284172,default_100s,,water-level-clipped: 100%,,False,0.9972108285479901,
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1940.694427145567,7.0,69.55836402395073,0.14209924272565255,default_100s,,water-level-clipped: 100%,,False,0.997292863002461,
