event,station,epi_deg,D_km,event_time_utc,fc_Hz,t0_utc,noise_level,log10_A,q0,alpha,sigma_km,fit_start,fit_end,ssr,rmse,n_resid
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,3.0,1973-03-13 08:01:32.396000+00:00,1.9108782549222814e-11,2.8390102126755554,8.671762819191105,0.3685477879418924,499.4685522380865,0.0,150.0,267.25250849111734,0.18334848713510493,7950
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,4.0,1973-03-13 08:01:32.112000+00:00,1.6140549876320762e-11,2.8521921974150426,6.134686632528857,0.2505396232259801,487.94877708512416,0.0,150.0,170.45165791431378,0.14642561290637654,7950
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,5.0,1973-03-13 08:01:35.960000+00:00,1.2122906594909776e-11,2.8985881108164135,6.135386112987531,0.23133449558573077,490.445109501111,0.0,150.0,188.80862354604116,0.15410876806894683,7950
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,6.0,1973-03-13 08:01:36.998000+00:00,7.032577373122293e-12,3.028610516290753,8.057614862211315,0.22937717767082028,493.90923020314875,0.0,150.0,185.22307141452302,0.1526384602549325,7950
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,7.0,1973-03-13 08:01:39.471000+00:00,7.1361506934439895e-12,2.9287961295546783,6.011943782614937,0.2252689699728587,486.16068182906406,0.0,150.0,146.0336633587001,0.13553233658044853,7950
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,8.0,1973-03-13 08:01:40.412000+00:00,5.2695344729060935e-12,2.9603474664015934,6.023971190330672,0.21736859754854898,493.0218193685796,0.0,150.0,247.22500791062572,0.17634479088358926,7950
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,9.0,1973-03-13 08:01:45.433000+00:00,5.546611524015801e-12,2.8826821485611225,6.561886819972534,0.2565174896312133,496.2513320926594,0.0,150.0,263.0039876680664,0.18188530066983635,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,3.0,1974-07-11 00:52:04.720000+00:00,8.620257773346162e-12,2.533486714168545,6.03889988381575,0.40835401624338236,498.7076207813265,0.0,150.0,383.75517381302933,0.21970682976563125,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,4.0,1974-07-11 00:52:09.374000+00:00,7.529209077804584e-12,2.4994052706725136,6.132503168097993,0.2903515073317897,498.6277050987711,0.0,150.0,265.55209488017357,0.18276427230235812,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,5.0,1974-07-11 00:52:15.850000+00:00,5.7511388630423056e-12,2.5248627562555197,6.028119406174922,0.24386461873020338,483.797388754184,0.0,150.0,286.0205176513659,0.189677156252263,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,6.0,1974-07-11 00:52:21.222000+00:00,4.847071381644068e-12,2.441806293254286,8.416109868691347,0.2576549827578615,491.4617406099763,0.0,150.0,312.9369824224478,0.19840146784506205,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,7.0,1974-07-11 00:52:28.507000+00:00,3.4345664181080547e-12,2.5812475501446936,9.16727007816711,0.23704439409087147,482.6527356118023,0.0,150.0,315.68817020842727,0.19927168338678272,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,8.0,1974-07-11 00:52:35.552000+00:00,3.6126630054081095e-12,2.5045952615879417,6.335825483987487,0.26090771051446926,494.3659928412589,0.0,150.0,233.22748022251167,0.17127985860893222,7950
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,9.0,1974-07-11 00:52:42.221000+00:00,4.2096285129234705e-12,2.4136500617236174,6.2648017177275515,0.3230606954685845,499.2775724965377,0.0,150.0,219.26118902318134,0.16607234500813434,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,3.0,1975-01-03 01:46:41.202000+00:00,3.29874152775679e-11,3.9112085393167275,2.9989890705366093,4.291000543343971,80.07635454893914,0.0,150.0,203.76890558378042,0.1600978103487457,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,4.0,1975-01-03 01:46:55.874000+00:00,4.813494276967534e-11,2.911478261552793,9.133855004354553,0.326253306309536,338.7335745889553,0.0,150.0,218.48180562773751,0.1657769227886534,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,5.0,1975-01-03 01:47:03.344000+00:00,3.820661068937604e-11,2.6584673336237845,6.022297108635489,0.19907472260472373,474.02506558796983,0.0,150.0,177.98447938069864,0.1496261502136603,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,6.0,1975-01-03 01:47:11.353000+00:00,3.066737226716767e-11,2.5123262307046694,6.057751030786713,0.2202382847964564,450.1295475536989,0.0,150.0,160.53402332435954,0.1421019314039203,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,7.0,1975-01-03 01:47:11.055000+00:00,2.7791447194040755e-11,2.4594049388954526,6.329809513635168,0.2046414512005216,387.770443432984,0.0,150.0,181.39205109752862,0.15105168056313376,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,8.0,1975-01-03 01:47:23.607000+00:00,1.7470705156027035e-11,2.3412235465182127,8.517728639600241,0.20258741788986953,478.92234018925114,0.0,150.0,229.5483306040188,0.16992352353209403,7950
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,9.0,1975-01-03 01:47:33.707000+00:00,1.5874380158835196e-11,2.267218943215365,6.857735433330005,0.274368572906118,498.5847864371588,0.0,150.0,276.13067390991966,0.18636903740127192,7950
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,3.0,1976-03-06 10:15:45.412000+00:00,1.2494201947145798e-11,2.9675460448167104,6.620305752287548,0.28873766431143494,289.9823465750167,0.0,150.0,136.55520438534438,0.131060120817115,7950
