event,station,epi_deg,starttime_dt,origin_time_utc,origin_time_method,t0_s_mean,lognonne_trace_start_s,nakamura_trace_start_s,margarit_trace_start_s,taup_trace_start_s,t0_mean_minus_taup_trace_start_s,lognonne_minus_taup_trace_start_s,nakamura_minus_taup_trace_start_s,margarit_minus_taup_trace_start_s
1975-02-13 21:54:00.011000+00:00__S14,S14,15.81284595886579,1975-02-13 21:54:00.011000+00:00,1975-02-13 22:03:00+00:00,matched,660.0995981246105,657.889,658.289,,607.436485133529,52.66311299108145,50.452514866471006,50.85251486647098,
1976-03-08 14:33:00.012000+00:00__S14,S14,15.9717445157269,1976-03-08 14:33:00.012000+00:00,1976-03-08 14:42:00+00:00,matched,612.8555611311212,619.988,621.788,,608.0188956861076,4.836665445013637,11.969104313892444,13.769104313892399,
1973-02-08 22:43:10.015000+00:00__S15,S15,28.0,1973-02-08 22:43:10.015000+00:00,1973-02-08 22:52:10.015000+00:00,margarit_plus_540s,660.0523181380122,,,649.985,654.6125015147511,5.439816623261095,,,-4.6275015147510885
1976-03-08 14:33:00.004000+00:00__S16,S16,29.3583029892792,1976-03-08 14:33:00.004000+00:00,1976-03-08 14:42:00+00:00,matched,657.6546892108074,651.996,664.996,,659.4607158715812,-1.8060266607737958,-7.464715871581234,5.535284128418766,
1976-01-04 11:09:00.018000+00:00__S15,S15,30.37355471188642,1976-01-04 11:09:00.018000+00:00,1976-01-04 11:18:00+00:00,matched,709.6410913739286,715.082,713.082,,661.6898200620077,47.95127131192089,53.392179937992296,51.392179937992296,
1975-01-13 00:17:20.011000+00:00__S14,S14,33.0,1975-01-13 00:17:20.011000+00:00,1975-01-13 00:26:20.011000+00:00,margarit_plus_540s,680.8797902708603,,,684.989,672.8784652564401,8.001325014420217,,,12.110534743559924
1976-03-06 10:03:00.015000+00:00__S15,S15,34.36925412541498,1976-03-06 10:03:00.015000+00:00,1976-03-06 10:12:00+00:00,matched,688.2358481454719,698.585,695.085,,677.1577921612727,11.078055984199182,21.427207838727327,17.927207838727327,
1972-12-06 22:59:00.004000+00:00__S15,S15,34.71848962072614,1972-12-06 22:59:00.004000+00:00,1972-12-06 23:08:00+00:00,matched,699.2887902493891,706.996,,,678.4044861873589,20.884304062030196,28.591513812641097,,
1976-01-12 08:09:05.013000+00:00__S15,S15,35.0,1976-01-12 08:09:05.013000+00:00,1976-01-12 08:18:05.013000+00:00,margarit_plus_540s,707.5773036078149,,,694.987,679.8373692712122,27.739934336602687,,,15.14963072878777
1974-04-19 13:26:15.008000+00:00__S16,S16,36.0,1974-04-19 13:26:15.008000+00:00,1974-04-19 13:35:15.008000+00:00,margarit_plus_540s,698.539160068597,,,664.992,685.1451158038975,13.39404426469946,,,-20.15311580389755
1975-05-27 23:20:00.011000+00:00__S14,S14,41.0,1975-05-27 23:20:00.011000+00:00,1975-05-27 23:29:00.011000+00:00,margarit_plus_540s,691.5072111857633,,,708.989,700.9557444390955,-9.448533253332243,,,8.033255560904536
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1971-05-20 17:16:10.013000+00:00,1971-05-20 17:25:10.013000+00:00,margarit_plus_540s,770.0098407884016,,,769.987,717.5551758248719,52.454664963529694,,,52.4318241751281
1976-03-08 14:33:00.011000+00:00__S15,S15,47.9333826510861,1976-03-08 14:33:00.011000+00:00,1976-03-08 14:42:00+00:00,matched,733.6402880766581,723.989,738.289,,725.3723027044928,8.267985372165299,-1.3833027044927348,12.91669729550722,
1976-05-16 12:23:40.013000+00:00__S15,S15,51.0,1976-05-16 12:23:40.013000+00:00,1976-05-16 12:32:40.013000+00:00,margarit_plus_540s,718.8746609897129,,,719.987,736.4476689583973,-17.573007968684465,,,-16.460668958397378
1975-02-13 21:54:00.017000+00:00__S15,S15,51.91769209457576,1975-02-13 21:54:00.017000+00:00,1975-02-13 22:03:00+00:00,matched,795.3344714413354,787.983,790.383,,739.0310733911248,56.3033980502106,48.95192660887517,51.35192660887526,
1975-01-12 03:04:00.018000+00:00__S15,S15,52.12565093575997,1975-01-12 03:04:00.018000+00:00,1975-01-12 03:13:00+00:00,matched,818.9854277850565,799.982,799.982,,740.3632670772661,78.62216070779039,59.6187329227339,59.6187329227339,
1976-01-12 08:09:05+00:00__S16,S16,54.0,1976-01-12 08:09:05+00:00,1976-01-12 08:18:05+00:00,margarit_plus_540s,718.3335818165614,,,715.0,747.6440036830189,-29.310421866457546,,,-32.64400368301892
1976-01-04 11:09:00.035000+00:00__S16,S16,55.66406509366376,1976-01-04 11:09:00.035000+00:00,1976-01-04 11:18:00+00:00,matched,794.542950365245,801.965,807.965,,751.8987778001124,42.644172565132635,50.06622219988765,56.06622219988765,
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:03:00.009000+00:00,1976-03-06 10:12:00+00:00,matched,768.7853616879745,773.191,773.591,,755.0109070054201,13.774454682554392,18.180092994579923,18.5800929945799,
1972-12-06 22:59:00.030000+00:00__S16,S16,60.41363524389975,1972-12-06 22:59:00.030000+00:00,1972-12-06 23:08:00+00:00,matched,795.9977518524319,819.97,,,768.2284323005684,27.76931955186342,51.741567699431585,,
1973-02-08 22:43:10.006000+00:00__S14,S14,61.0,1973-02-08 22:43:10.006000+00:00,1973-02-08 22:52:10.006000+00:00,margarit_plus_540s,787.6605299084436,,,769.994,770.5831007651459,17.07742914329765,,,-0.5891007651458722
1975-05-27 23:20:00.015000+00:00__S15,S15,63.0,1975-05-27 23:20:00.015000+00:00,1975-05-27 23:29:00.015000+00:00,margarit_plus_540s,837.5623815537236,,,826.985,774.8962430703162,62.666138483407394,,,52.08875692968377
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1975-05-07 06:28:05.013000+00:00,1975-05-07 06:37:05.013000+00:00,margarit_plus_540s,748.623924993484,,,774.987,781.2529745783019,-32.629049584817835,,,-6.265974578301893
1971-04-17 06:51:55.001000+00:00__S14,S14,68.0,1971-04-17 06:51:55.001000+00:00,1971-04-17 07:00:55.001000+00:00,margarit_plus_540s,782.1350398772294,,,787.999,790.9942836419401,-8.859243764710754,,,-2.995283641940091
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 22:59:00.008000+00:00,1972-12-06 23:08:00+00:00,matched,823.0774314334382,841.992,,,799.5782892749984,23.49914215843978,42.41371072500158,,
1976-03-06 10:03:00.016000+00:00__S16,S16,70.8585954563536,1976-03-06 10:03:00.016000+00:00,1976-03-06 10:12:00+00:00,matched,821.2654248206622,822.584,821.484,,800.7432186323015,20.52220618836077,21.84078136769847,20.74078136769856,
1974-07-11 00:37:00.017000+00:00__S15,S15,71.11674086762746,1974-07-11 00:37:00.017000+00:00,1974-07-11 00:46:00+00:00,matched,832.385564558328,835.983,837.483,,801.039422692043,31.346141866285052,34.94357730795696,36.44357730795696,
1974-07-11 00:37:00.001000+00:00__S16,S16,72.63856653277787,1974-07-11 00:37:00.001000+00:00,1974-07-11 00:46:00+00:00,matched,839.690304283916,837.699,839.799,,806.7197321639493,32.97057211996673,30.979267836050667,33.07926783605069,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:20:40.002000+00:00,1972-01-02 22:29:40.002000+00:00,margarit_plus_540s,751.3890093913914,,,769.998,806.5318218903622,-55.142812498970784,,,-36.533821890362105
1975-01-03 01:32:00.016000+00:00__S14,S14,78.42201296671401,1975-01-03 01:32:00.016000+00:00,1975-01-03 01:41:00+00:00,matched,890.4906978664086,890.784,891.184,,822.1934214684131,68.29727639799546,68.59057853158686,68.99057853158683,
1975-01-12 03:04:00.002000+00:00__S16,S16,80.33739459301566,1975-01-12 03:04:00.002000+00:00,1975-01-12 03:13:00+00:00,matched,880.4653771042751,889.998,904.798,,828.6221307576327,51.843246346642445,61.375869242367344,76.1758692423673,
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:32:00.013000+00:00,1975-01-03 01:41:00+00:00,matched,903.3312860417105,903.087,901.087,,837.1474433915358,66.18384265017471,65.93955660846416,63.93955660846416,
1973-03-13 07:47:00.007000+00:00__S16,S16,85.0,1973-03-13 07:47:00.007000+00:00,1973-03-13 07:56:00+00:00,matched,871.1997613457354,865.803,867.193,,840.6901715106029,30.509589835132488,25.11282848939709,26.502828489397075,
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,1975-01-12 03:04:00.017000+00:00,1975-01-12 03:13:00+00:00,matched,909.873442960512,899.983,917.683,,847.7008138797843,62.17262908072769,52.28218612021567,69.98218612021572,
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 07:47:00.014000+00:00,1973-03-13 07:56:00+00:00,matched,875.946157046734,876.036,875.486,,849.8651166429726,26.08104040376145,26.17088335702738,25.620883357027424,
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:37:00.006000+00:00,1974-07-11 00:46:00+00:00,matched,915.843642736129,905.394,908.594,,878.9478501791057,36.895792557023356,26.446149820894334,29.64614982089438,
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 07:47:00.013000+00:00,1973-03-13 07:56:00+00:00,matched,959.9705916389437,938.097,939.987,,916.0462644254649,43.92432721347882,22.05073557453511,23.940735574535097,
