event,station,epi_deg,starttime_dt,origin_time_utc,origin_time_method,t0_s_mean,lognonne_trace_start_s,nakamura_trace_start_s,margarit_trace_start_s,taup_trace_start_s,t0_mean_minus_taup_trace_start_s,lognonne_minus_taup_trace_start_s,nakamura_minus_taup_trace_start_s,margarit_minus_taup_trace_start_s
1976-03-06 10:03:00.015000+00:00__S15,S15,34.36925412541498,1976-03-06 10:03:00.015000+00:00,1976-03-06 10:12:00+00:00,matched,688.2358481454719,698.585,695.085,,677.1577921612727,11.078055984199182,21.427207838727327,17.927207838727327,
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1971-05-20 17:16:10.013000+00:00,1971-05-20 17:25:10.013000+00:00,margarit_plus_540s,770.0098407884016,,,769.987,717.5551758248719,52.454664963529694,,,52.4318241751281
1976-03-08 14:33:00.011000+00:00__S15,S15,47.9333826510861,1976-03-08 14:33:00.011000+00:00,1976-03-08 14:42:00+00:00,matched,733.6402880766581,723.989,738.289,,725.3723027044928,8.267985372165299,-1.3833027044927348,12.91669729550722,
1976-01-04 11:09:00.035000+00:00__S16,S16,55.66406509366376,1976-01-04 11:09:00.035000+00:00,1976-01-04 11:18:00+00:00,matched,794.542950365245,801.965,807.965,,751.8987778001124,42.644172565132635,50.06622219988765,56.06622219988765,
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:03:00.009000+00:00,1976-03-06 10:12:00+00:00,matched,768.7853616879745,773.191,773.591,,755.0109070054201,13.774454682554392,18.180092994579923,18.5800929945799,
1975-05-07 06:28:05.013000+00:00__S16,S16,64.0,1975-05-07 06:28:05.013000+00:00,1975-05-07 06:37:05.013000+00:00,margarit_plus_540s,748.623924993484,,,774.987,781.2529745783019,-32.629049584817835,,,-6.265974578301893
1972-12-06 22:59:00.008000+00:00__S14,S14,70.7722405930355,1972-12-06 22:59:00.008000+00:00,1972-12-06 23:08:00+00:00,matched,823.0774314334382,841.992,,,799.5782892749984,23.49914215843978,42.41371072500158,,
1972-01-02 22:20:40.002000+00:00__S15,S15,73.0,1972-01-02 22:20:40.002000+00:00,1972-01-02 22:29:40.002000+00:00,margarit_plus_540s,751.3890093913914,,,769.998,806.5318218903622,-55.142812498970784,,,-36.533821890362105
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:32:00.013000+00:00,1975-01-03 01:41:00+00:00,matched,903.3312860417105,903.087,901.087,,837.1474433915358,66.18384265017471,65.93955660846416,63.93955660846416,
1975-01-12 03:04:00.017000+00:00__S14,S14,87.81471502440483,1975-01-12 03:04:00.017000+00:00,1975-01-12 03:13:00+00:00,matched,909.873442960512,899.983,917.683,,847.7008138797843,62.17262908072769,52.28218612021567,69.98218612021572,
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 07:47:00.014000+00:00,1973-03-13 07:56:00+00:00,matched,875.946157046734,876.036,875.486,,849.8651166429726,26.08104040376145,26.17088335702738,25.620883357027424,
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:37:00.006000+00:00,1974-07-11 00:46:00+00:00,matched,915.843642736129,905.394,908.594,,878.9478501791057,36.895792557023356,26.446149820894334,29.64614982089438,
1973-03-13 07:47:00.013000+00:00__S15,S15,120.0,1973-03-13 07:47:00.013000+00:00,1973-03-13 07:56:00+00:00,matched,959.9705916389437,938.097,939.987,,916.0462644254649,43.92432721347882,22.05073557453511,23.940735574535097,
