starttime,station,epi_deg,origin_time_utc,t0_utc,t0_dt_mean,lognonne_P_utc,nakamura_P_utc,margarit_P_utc,travel_time_taup_local_mean_s,t0_travel_time_s,t0_mean_travel_time_s,lognonne_travel_time_s,nakamura_travel_time_s,margarit_travel_time_s,t0_minus_mean_taup_s,t0_mean_minus_mean_taup_s,lognonne_minus_mean_taup_s,nakamura_minus_mean_taup_s,margarit_minus_mean_taup_s
1975-02-13T21:54:00.011Z,S14,15.81284595886579,1975-02-13 22:03:00+00:00,1975-02-13 22:05:00.659000+00:00,1975-02-13 22:04:55.042000+00:00,1975-02-13 22:04:57.900000+00:00,1975-02-13 22:04:58.300000+00:00,,,120.659,115.042,117.9,118.3,,,,,,
1976-03-08T14:33:00.012Z,S14,15.9717445157269,1976-03-08 14:42:00+00:00,1976-03-08 14:43:04.130000+00:00,1976-03-08 14:43:13.095000+00:00,1976-03-08 14:43:20+00:00,1976-03-08 14:43:21.800000+00:00,,,64.13,73.095,80.0,81.8,,,,,,
1973-02-08T22:43:10.015Z,S15,28.0,,1973-02-08 22:53:46.629000+00:00,1973-02-08 22:54:01.469000+00:00,,,1973-02-08 22:54:00+00:00,,,,,,,,,,,
1976-03-08T14:33:00.004Z,S16,29.3583029892792,1976-03-08 14:42:00+00:00,1976-03-08 14:43:23.976000+00:00,1976-03-08 14:43:52.516000+00:00,1976-03-08 14:43:52+00:00,1976-03-08 14:44:05+00:00,,,83.976,112.516,112.0,125.0,,,,,,
1976-01-04T11:09:00.018Z,S15,30.37355471188642,1976-01-04 11:18:00+00:00,1976-01-04 11:20:55.434000+00:00,1976-01-04 11:20:46.754000+00:00,1976-01-04 11:20:55.100000+00:00,1976-01-04 11:20:53.100000+00:00,,,175.434,166.754,175.1,173.1,,,,,,
1975-01-13T00:17:20.011Z,S14,33.0,,1975-01-13 00:28:28.947000+00:00,1975-01-13 00:28:36.049000+00:00,,,1975-01-13 00:28:45+00:00,,,,,,,,,,,
1976-03-06T10:03:00.015Z,S15,34.36925412541498,1976-03-06 10:12:00+00:00,1976-03-06 10:14:26.963000+00:00,1976-03-06 10:14:28.214000+00:00,1976-03-06 10:14:38.600000+00:00,1976-03-06 10:14:35.100000+00:00,,,146.963,148.214,158.6,155.1,,,,,,
1972-12-06T22:59:00.004Z,S15,34.71848962072614,1972-12-06 23:08:00+00:00,1972-12-06 23:10:53.757000+00:00,1972-12-06 23:10:40.242000+00:00,1972-12-06 23:10:47+00:00,,,,173.757,160.242,167.0,,,,,,,
1976-01-12T08:09:05.013Z,S15,35.0,,1976-01-12 08:20:32.332000+00:00,1976-01-12 08:21:18.992000+00:00,,,1976-01-12 08:20:40+00:00,,,,,,,,,,,
1974-04-19T13:26:15.008Z,S16,36.0,,1974-04-19 13:37:11.303000+00:00,1974-04-19 13:37:06.973000+00:00,,,1974-04-19 13:37:20+00:00,,,,,,,,,,,
1975-05-27T23:20:00.011Z,S14,41.0,,1975-05-27 23:31:29.998000+00:00,1975-05-27 23:31:26.600000+00:00,,,1975-05-27 23:31:49+00:00,,,,,,,,,,,
1971-05-20T17:16:10.013Z,S14,46.0,,1971-05-20 17:28:57.666000+00:00,1971-05-20 17:28:58.621000+00:00,,,1971-05-20 17:29:00+00:00,,,,,,,,,,,
1976-03-08T14:33:00.011Z,S15,47.9333826510861,1976-03-08 14:42:00+00:00,1976-03-08 14:45:07.880000+00:00,1976-03-08 14:45:07.889000+00:00,1976-03-08 14:45:04+00:00,1976-03-08 14:45:18.300000+00:00,,,187.88,187.889,184.0,198.3,,,,,,
1975-11-10T07:46:00.004Z,S16,48.0,1975-11-10 07:55:00+00:00,1975-11-10 07:55:57.721000+00:00,1975-11-10 07:55:34.040000+00:00,,1975-11-10 07:55:50+00:00,,,57.721,34.04,,50.0,,,,,,
1976-05-16T12:23:40.013Z,S15,51.0,,1976-05-16 12:35:52.591000+00:00,1976-05-16 12:35:44.514000+00:00,,,1976-05-16 12:35:40+00:00,,,,,,,,,,,
