event,station,epi_deg,event_time_utc,fc_Hz,noise_rms,fit_threshold,tmax_s,emax,fit_end_s,td_s,Qc,rmse_log,amp0
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,3.0,1.967345994202065e-11,3.93469198840413e-11,292.80684424528306,6.547619412105036e-09,857.7313725471698,270.4163861596566,2548.6143965084334,0.5150111459888478,7.707946510228823e-09
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,4.0,1.8248450828237267e-11,3.649690165647453e-11,280.4115989622642,5.7896040033485086e-09,852.7134857547169,247.73481658041416,3113.127519229776,0.45655557408309183,7.3640389393972384e-09
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,5.0,1.3560250983720894e-11,2.7120501967441788e-11,292.2805800943397,5.600427214543847e-09,849.6390706603775,215.22688998134151,3380.7760821018055,0.4658126587119016,7.1929159295167895e-09
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,6.0,8.439739936115076e-12,1.6879479872230152e-11,290.61993858490564,4.765617156261322e-09,853.1859763207547,198.10054030272426,3734.1072125232436,0.47822941927034723,6.6413822235299805e-09
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,7.0,7.637905258269331e-12,1.5275810516538662e-11,299.977127264151,3.9109652054866575e-09,850.920523490566,187.9087830411352,4132.329966429201,0.5000263176723194,6.032170072012908e-09
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,8.0,5.563527680762616e-12,1.1127055361525231e-11,298.6210329245282,3.940732599711002e-09,849.5266933018868,197.90938368671254,4974.005326933278,0.47512246720738804,4.6651561177192676e-09
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,9.0,6.088326776812696e-12,1.2176653553625393e-11,299.07173103773584,4.018776347049403e-09,846.6189008490567,195.73131999700934,5534.172692820337,0.5445967112018479,4.382422532535023e-09
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,3.0,1.0884735791431615e-11,2.176947158286323e-11,223.94662235849069,8.701653213529583e-10,824.6069997169811,1134.3359743541944,10690.864691201272,0.5716728580202373,7.736760753665062e-10
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,4.0,8.128289276544452e-12,1.6256578553088904e-11,245.51903745283016,7.112001753194193e-10,817.066207264151,879.4160968965201,11051.068597834868,0.5670884553083577,7.708531200758687e-10
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,5.0,6.3507620484926005e-12,1.2701524096985201e-11,277.8732261320755,4.848320237457062e-10,811.9675657547169,454.0108722590859,7131.586104695191,0.6119250515927422,8.974487262250407e-10
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,6.0,5.268569118851482e-12,1.0537138237702964e-11,247.3880185849057,4.5950664486959693e-10,809.4823582075471,630.4046422246244,11882.847556810691,0.666475334764097,6.204079144333129e-10
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,7.0,3.988193361235693e-12,7.976386722471387e-12,263.65018839622644,4.731542022442616e-10,799.8388676415093,506.3148120833519,11134.444258313284,0.5971739591382149,6.481667293559106e-10
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,8.0,3.954459020698232e-12,7.908918041396464e-12,286.3787733018868,4.0450650124543555e-10,793.9448110377358,380.30147165549005,9558.018476018196,0.6008891568944964,7.019453891639706e-10
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,9.0,4.494112140727395e-12,8.98822428145479e-12,277.3701506603775,5.615612042095012e-10,785.9550563207547,513.1966706186694,14510.294012361173,0.576457140918613,6.523691330304952e-10
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,3.0,7.782242048778154e-11,1.5564484097556308e-10,290.0761119433963,8.798671302853753e-09,845.8308289245282,303.1433482468422,2857.0587475106754,0.44656132367211576,8.944102747725246e-09
