event,station,epi_deg,src_lat,src_lon,src_depth_km,travel_time_pykonal_s,travel_time_taup_s,travel_time_taup_source_local_s,travel_time_taup_receiver_local_s,travel_time_taup_local_mean_s,delta_t_pykonal_minus_taup_s,delta_t_pykonal_minus_taup_local_mean_s,delta_t_taup_local_mean_minus_taup_s,phase,taup_phase_name,taup_source_local_phase_name,taup_receiver_local_phase_name,source_local_crust_thickness_km,receiver_local_crust_thickness_km,trace_method,seeded_nodes,trace_stop_reason
1975-02-13 21:54:00.011000+00:00__S14,S14,15.81284595886579,-17.0,-26.1,70.0,90.24734960163067,66.83440655928335,66.85006779387338,68.04490247318445,67.44748513352891,23.412943042347322,22.79986446810176,0.6130785742455629,P,P,P,P,28.06807850411533,33.24356681527943,gradient_cartesian,1,non_decreasing_traveltime
1976-03-08 14:33:00.012000+00:00__S14,S14,15.9717445157269,-19.0,-13.0,70.0,88.59716580368362,67.44362033272026,67.40581290158987,68.65597847062524,68.03089568610756,21.153545470963365,20.566270117576067,0.5872753533872981,P,P,P,P,27.815961957098448,33.24356681527943,gradient_cartesian,1,non_decreasing_traveltime
1973-02-08 22:43:10.015000+00:00__S15,S15,28.0,33.0,35.0,70.0,138.137448856783,113.05682405964433,115.29944040755795,113.9255626219443,114.61250151475113,25.080624797138682,23.52494734203188,1.555677455106803,P,P,P,P,36.768021130384454,31.400265129951194,gradient_cartesian,1,non_decreasing_traveltime
1976-03-08 14:33:00.004000+00:00__S16,S16,29.3583029892792,-19.0,-13.0,70.0,141.35684232107903,118.11922607206658,118.07638656672974,120.85304517643266,119.4647158715812,23.237616249012447,21.892126449497823,1.345489799514624,P,P,P,P,27.815961957098448,38.57890904977265,gradient_cartesian,1,non_decreasing_traveltime
1976-01-04 11:09:00.018000+00:00__S15,S15,30.37355471188642,44.1,34.0,70.0,146.45573184381905,121.88857767432876,120.64312892022681,122.77251120378865,121.70782006200773,24.567154169490294,24.747911781811325,-0.18075761232103105,P,P,P,P,22.68610687049807,31.400265129951194,gradient_cartesian,2,non_decreasing_traveltime
1975-01-13 00:17:20.011000+00:00__S14,S14,33.0,-2.0,-51.0,70.0,152.75991267464286,131.5793903055477,132.78911152025776,132.96781899262248,132.8784652564401,21.180522369095172,19.881447418202754,1.2990749508924182,P,P,P,P,32.56941045768547,33.24356681527943,gradient_cartesian,1,non_decreasing_traveltime
1976-03-06 10:03:00.015000+00:00__S15,S15,34.36925412541498,52.5,-25.8,70.0,160.8601072678996,136.60423978533518,136.83671903456693,137.50886528797847,137.1727921612727,24.255867482564412,23.687315106626897,0.5685523759375144,P,P,P,P,28.874583093917327,31.400265129951194,gradient_cartesian,1,non_decreasing_traveltime
1972-12-06 22:59:00.004000+00:00__S15,S15,34.71848962072614,48.0,38.2,70.0,163.38434504543292,137.8830931981474,138.0277440663442,138.78922830837354,138.40848618735887,25.501251847285516,24.975858858074048,0.5253929892114684,P,P,P,P,28.54335537593361,31.400265129951194,gradient_cartesian,1,non_decreasing_traveltime
1976-01-12 08:09:05.013000+00:00__S15,S15,35.0,38.0,44.0,70.0,171.58223785212505,138.9130008298477,139.85430752406452,139.82043101835984,139.8373692712122,32.66923702227734,31.74486858091285,0.9243684413644928,P,P,P,P,31.52708175342202,31.400265129951194,gradient_cartesian,1,non_decreasing_traveltime
1974-04-19 13:26:15.008000+00:00__S16,S16,36.0,-37.0,42.0,70.0,168.47398907037348,142.56479985930338,144.88264406867174,145.40758753912334,145.14511580389754,25.9091892110701,23.328873266475938,2.5803159445941617,P,P,P,P,36.629712734221755,38.57890904977265,gradient_cartesian,2,non_decreasing_traveltime
1975-05-27 23:20:00.011000+00:00__S14,S14,41.0,3.0,-58.0,70.0,180.18598896358986,160.5903986651222,159.86289316266672,162.0485957155244,160.95574443909555,19.59559029846767,19.23024452449431,0.36534577397335966,P,P,P,P,25.12149755243975,33.24356681527943,gradient_cartesian,2,non_decreasing_traveltime
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,42.0,-24.0,70.0,198.07752791515966,178.1977966432298,175.41660768873106,179.6937439610128,177.55517582487192,19.87973127192987,20.52235209028774,-0.6426208183578694,P,P,P,P,17.277441004349196,33.24356681527943,gradient_cartesian,1,non_decreasing_traveltime
1976-03-08 14:33:00.011000+00:00__S15,S15,47.9333826510861,-19.0,-13.0,70.0,210.88746155481667,184.9176611822776,184.86924117593813,185.89736423304737,185.38330270449273,25.969800372539055,25.504158850323932,0.46564152221512245,P,P,P,P,27.815961957098448,31.400265129951194,gradient_cartesian,1,non_decreasing_traveltime
